image,timestamp,speed,steering,cmd_left,cmd_straight,cmd_right,cmd_follow
img_000000.jpg,1782458998.5308874,20,0.0,0,0,0,1
img_000001.jpg,1782458999.0212588,20,0.0,0,0,0,1
img_000002.jpg,1782458999.5256715,20,0.0,0,0,0,1
img_000003.jpg,1782458999.9980578,20,0.0,0,0,0,1
img_000004.jpg,1782459000.4956641,20,0.0,0,0,0,1
img_000005.jpg,1782459000.9823172,20,0.0,0,0,0,1
img_000006.jpg,1782459001.492707,20,0.0,0,0,0,1
img_000007.jpg,1782459001.9593036,20,0.0,0,0,0,1
img_000008.jpg,1782459002.4799728,20,0.0,0,0,0,1
img_000009.jpg,1782459002.9724293,20,0.0,0,0,0,1
img_000010.jpg,1782459003.4657013,20,0.0,0,0,0,1
img_000011.jpg,1782459003.9522727,20,0.0,0,0,0,1
img_000012.jpg,1782459004.4538991,20,0.0,0,0,0,1
img_000013.jpg,1782459004.96225,20,0.0,0,0,0,1
img_000014.jpg,1782459005.4609432,20,0.0,0,0,0,1
img_000015.jpg,1782459005.9559505,20,0.0,0,0,0,1
img_000016.jpg,1782459006.435801,30,0.0,0,0,0,1
img_000017.jpg,1782459006.953407,30,0.0,0,0,0,1
img_000018.jpg,1782459007.4163356,30,0.0,0,0,0,1
img_000019.jpg,1782459007.9304254,30,0.0,0,0,0,1
img_000020.jpg,1782459008.4283216,30,0.0,0,0,0,1
img_000021.jpg,1782459008.9293377,30,0.0,0,0,0,1
img_000022.jpg,1782459009.422826,30,0.0,0,0,0,1
img_000023.jpg,1782459009.8994014,30,0.0,0,0,0,1
img_000024.jpg,1782459010.3941958,30,0.0,0,0,0,1
img_000025.jpg,1782459010.9025695,30,0.0,0,0,0,1
img_000026.jpg,1782459011.3827412,30,0.0,0,0,0,1
img_000027.jpg,1782459011.8774443,30,0.0,0,0,0,1
img_000028.jpg,1782459012.3613558,30,0.0,0,0,0,1
img_000029.jpg,1782459012.8644447,30,0.0,0,0,0,1
img_000030.jpg,1782459013.3382792,30,0.0,0,0,0,1
img_000031.jpg,1782459013.8327181,30,0.0,0,0,0,1
img_000032.jpg,1782459014.3326204,30,0.0,0,0,0,1
img_000033.jpg,1782459014.8140614,30,0.0,0,0,0,1
img_000034.jpg,1782459015.316761,30,0.0,0,0,0,1
img_000035.jpg,1782459015.8060453,30,0.0,0,0,0,1
img_000036.jpg,1782459016.2947543,30,0.0,0,0,0,1
img_000037.jpg,1782459016.7911153,30,0.0,0,0,0,1
img_000038.jpg,1782459017.2797427,30,0.0,0,0,0,1
img_000039.jpg,1782459017.7745717,30,0.0,0,0,0,1
img_000040.jpg,1782459018.2559938,30,0.0,0,0,0,1
img_000041.jpg,1782459018.760223,30,0.0,0,0,0,1
img_000042.jpg,1782459019.2543902,30,0.0,0,0,0,1
img_000043.jpg,1782459019.7329402,30,0.0,0,0,0,1
img_000044.jpg,1782459020.236507,30,0.0,0,0,0,1
img_000045.jpg,1782459020.723706,30,0.0,0,0,0,1
img_000046.jpg,1782459021.216654,30,0.0,0,0,0,1
img_000047.jpg,1782459021.7064714,30,0.0,0,0,0,1
img_000048.jpg,1782459022.1939437,30,0.0,0,0,0,1
img_000049.jpg,1782459022.6936796,30,-0.028303999374419516,0,0,0,1
